#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
81        	4         	ok              	1.0470000000e-04	5.8780000000e+02	2.3734018137e+15	1.2901297109e+15	2.3670654348e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
82        	4         	ok              	8.8370000000e-05	5.8610000000e+02	2.0090250720e+15	1.0920673187e+15	2.3670548232e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
83        	4         	ok              	7.4560000000e-05	5.8440000000e+02	1.6999868274e+15	9.2408510279e+14	2.3670419662e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
84        	4         	ok              	6.2900000000e-05	5.8270000000e+02	1.4383105016e+15	7.8184723441e+14	2.3670264872e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
85        	5         	ok              	5.3070000000e-05	5.8110000000e+02	1.2168630558e+15	6.6147660560e+14	2.3670072469e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
86        	5         	ok              	4.4770000000e-05	5.7940000000e+02	1.0295513937e+15	5.5966078908e+14	2.3669850833e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
87        	5         	ok              	3.7770000000e-05	5.7780000000e+02	8.7097137365e+14	4.7346264969e+14	2.3669578680e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
88        	5         	ok              	3.1870000000e-05	5.7620000000e+02	7.3694888915e+14	4.0061304456e+14	2.3669258480e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
89        	6         	ok              	2.6890000000e-05	5.7450000000e+02	6.2362388119e+14	3.3901354166e+14	2.3668899326e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
90        	6         	ok              	2.2680000000e-05	5.7260000000e+02	5.2772381853e+14	2.8688509384e+14	2.3668518992e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
91        	6         	ok              	1.9140000000e-05	5.7060000000e+02	4.4690756293e+14	2.4295533667e+14	2.3668112912e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
92        	6         	ok              	1.6150000000e-05	5.6850000000e+02	3.7847893925e+14	2.0575876028e+14	2.3667683639e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
93        	7         	ok              	1.3620000000e-05	5.6620000000e+02	3.2047864747e+14	1.7423023383e+14	2.3667258257e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
94        	7         	ok              	1.1490000000e-05	5.6360000000e+02	2.7160261425e+14	1.4766083542e+14	2.3666879220e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
95        	7         	ok              	9.6960000000e-06	5.6090000000e+02	2.3029542537e+14	1.2520551063e+14	2.3666510945e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
96        	8         	ok              	8.1800000000e-06	5.5800000000e+02	1.9529505830e+14	1.0617820563e+14	2.3666184374e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
97        	8         	ok              	6.9010000000e-06	5.5500000000e+02	1.6564778702e+14	9.0060700625e+13	2.3665881659e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
98        	8         	ok              	5.8220000000e-06	5.5210000000e+02	1.4048013637e+14	7.6378430692e+13	2.3665547770e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
99        	8         	ok              	4.9120000000e-06	5.4890000000e+02	1.1921232790e+14	6.4815877389e+13	2.3665306685e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
100       	8         	ok              	4.1440000000e-06	5.4590000000e+02	1.0112468592e+14	5.4982303321e+13	2.3665006604e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
